name,club,Season
Rhys Williams,Liverpool,2021-2022
Ben Woodburn,Liverpool,2021-2022
Ederson,Manchester City,2021-2022
João Cancelo,Manchester City,2021-2022
Rodri,Manchester City,2021-2022
Bernardo Silva,Manchester City,2021-2022
Aymeric Laporte,Manchester City,2021-2022
Rúben Dias,Manchester City,2021-2022
Kevin De Bruyne,Manchester City,2021-2022
Phil Foden,Manchester City,2021-2022
Raheem Sterling,Manchester City,2021-2022
Jack Grealish,Manchester City,2021-2022
Gabriel Jesus,Manchester City,2021-2022
?lkay Gündo?an,Manchester City,2021-2022
Kyle Walker,Manchester City,2021-2022
Riyad Mahrez,Manchester City,2021-2022
John Stones,Manchester City,2021-2022
Oleksandr Zinchenko,Manchester City,2021-2022
Fernandinho,Manchester City,2021-2022
Nathan Aké,Manchester City,2021-2022
Ferrán Torres,Manchester City,2021-2022
Cole Palmer,Manchester City,2021-2022
Zack Steffen,Manchester City,2021-2022
Benjamin Mendy,Manchester City,2021-2022
James Mcatee,Manchester City,2021-2022
Liam Delap,Manchester City,2021-2022
Kayky Chagas,Manchester City,2021-2022
CJ Egan-Riley,Manchester City,2021-2022
Scott Carson,Manchester City,2021-2022
Thomas Doyle,Manchester City,2021-2022
Samuel Edozie,Manchester City,2021-2022
Roméo Lavia,Manchester City,2021-2022
Luke Mbete-Tatu,Manchester City,2021-2022
Cieran Slicker,Manchester City,2021-2022
Josh Wilson-Esbrand,Manchester City,2021-2022
David de Gea,Manchester United,2021-2022
Bruno Fernandes,Manchester United,2021-2022
Harry Maguire,Manchester United,2021-2022
Scott McTominay,Manchester United,2021-2022
Cristiano Ronaldo,Manchester United,2021-2022
Victor Lindelöf,Manchester United,2021-2022
Fred,Manchester United,2021-2022
Jadon Sancho,Manchester United,2021-2022
Raphaël Varane,Manchester United,2021-2022
Aaron Wan-Bissaka,Manchester United,2021-2022
Diogo Dalot,Manchester United,2021-2022
Luke Shaw,Manchester United,2021-2022
Alex Telles,Manchester United,2021-2022
Nemanja Mati?,Manchester United,2021-2022
Paul Pogba,Manchester United,2021-2022
Mason Greenwood,Manchester United,2021-2022
Anthony Elanga,Manchester United,2021-2022
Marcus Rashford,Manchester United,2021-2022
Edinson Cavani,Manchester United,2021-2022
Eric Bailly,Manchester United,2021-2022
Jesse Lingard,Manchester United,2021-2022
Juan Mata,Manchester United,2021-2022
Anthony Martial,Manchester United,2021-2022
Phil Jones,Manchester United,2021-2022
Daniel James,Manchester United,2021-2022
Hannibal Mejbri,Manchester United,2021-2022
Donny van de Beek,Manchester United,2021-2022
Shola Shoretire,Manchester United,2021-2022
Alejandro Garnacho,Manchester United,2021-2022
Amad Diallo,Manchester United,2021-2022
Álvaro Fernández,Manchester United,2021-2022
Tom Heaton,Manchester United,2021-2022
Dean Henderson,Manchester United,2021-2022
Andreas Pereira,Manchester United,2021-2022
Charlie Savage,Manchester United,2021-2022
Brandon Williams,Manchester United,2021-2022
Allan Saint-Maximin,Newcastle United,2021-2022
Joelinton,Newcastle United,2021-2022
Martin Dúbravka,Newcastle United,2021-2022
Fabian Schär,Newcastle United,2021-2022
Joe Willock,Newcastle United,2021-2022
Jamaal Lascelles,Newcastle United,2021-2022
Jonjo Shelvey,Newcastle United,2021-2022
Miguel Almirón,Newcastle United,2021-2022
Emil Krafth,Newcastle United,2021-2022
Ryan Fraser,Newcastle United,2021-2022
Dan Burn,Newcastle United,2021-2022
Matt Targett,Newcastle United,2021-2022
Callum Wilson,Newcastle United,2021-2022
Sean Longstaff,Newcastle United,2021-2022
Chris Wood,Newcastle United,2021-2022
Javier Manquillo,Newcastle United,2021-2022
Matt Ritchie,Newcastle United,2021-2022
Jacob Murphy,Newcastle United,2021-2022
Ciaran Clark,Newcastle United,2021-2022
Isaac Hayden,Newcastle United,2021-2022
Bruno Guimarães,Newcastle United,2021-2022
Karl Darlow,Newcastle United,2021-2022
Federico Fernández,Newcastle United,2021-2022
Kieran Trippier,Newcastle United,2021-2022
Freddie Woodman,Newcastle United,2021-2022
Jamal Lewis,Newcastle United,2021-2022
Paul Dummett,Newcastle United,2021-2022
Jeff Hendrick,Newcastle United,2021-2022
Dwight Gayle,Newcastle United,2021-2022
Elliot Anderson,Newcastle United,2021-2022
Lucas De Bolle,Newcastle United,2021-2022
Mark Gillespie,Newcastle United,2021-2022
Joe White,Newcastle United,2021-2022
Teemu Pukki,Norwich City,2021-2022
Grant Hanley,Norwich City,2021-2022
Max Aarons,Norwich City,2021-2022
Kenny McLean,Norwich City,2021-2022
Tim Krul,Norwich City,2021-2022
Ben Gibson,Norwich City,2021-2022
Pierre Lees-Melou,Norwich City,2021-2022
Milot Rashica,Norwich City,2021-2022
Brandon Williams,Norwich City,2021-2022
Billy Gilmour,Norwich City,2021-2022
Mathias Normann,Norwich City,2021-2022
Josh Sargent,Norwich City,2021-2022
Dimitris Giannoulis,Norwich City,2021-2022
Sam Byram,Norwich City,2021-2022
Ozan Kabak,Norwich City,2021-2022
Kieran Dowell,Norwich City,2021-2022
Angus Gunn,Norwich City,2021-2022
Lukas Rupp,Norwich City,2021-2022
Adam Idah,Norwich City,2021-2022
Jakob Sørensen,Norwich City,2021-2022
Przemys?aw P?acheta,Norwich City,2021-2022
Todd Cantwell,Norwich City,2021-2022
Andrew Omobamidele,Norwich City,2021-2022
Christos Tzolis,Norwich City,2021-2022
Christoph Zimmermann,Norwich City,2021-2022
Tony Springett,Norwich City,2021-2022
Jon Rowe,Norwich City,2021-2022
Bali Mumba,Norwich City,2021-2022
Thomas Dickson-Peters,Norwich City,2021-2022
Liam Gibbs,Norwich City,2021-2022
Abu Kamara,Norwich City,2021-2022
Jon McCracken,Norwich City,2021-2022
Michael McGovern,Norwich City,2021-2022
Jonathan Tomkinson,Norwich City,2021-2022
James Ward-Prowse,Southampton,2021-2022
Oriol Romeu,Southampton,2021-2022
Mohammed Salisu,Southampton,2021-2022
Jan Bednarek,Southampton,2021-2022
Kyle Walker-Peters,Southampton,2021-2022
Valentino Livramento,Southampton,2021-2022
Mohamed Elyounoussi,Southampton,2021-2022
Che Adams,Southampton,2021-2022
Armando Broja,Southampton,2021-2022
Nathan Redmond,Southampton,2021-2022
Fraser Forster,Southampton,2021-2022
Romain Perraud,Southampton,2021-2022
Alex McCarthy,Southampton,2021-2022
Adam Armstrong,Southampton,2021-2022
Stuart Armstrong,Southampton,2021-2022
Ibrahima Diallo,Southampton,2021-2022
Nathan Tella,Southampton,2021-2022
Lyanco,Southampton,2021-2022
Jack Stephens,Southampton,2021-2022
Moussa Djenepo,Southampton,2021-2022
Theo Walcott,Southampton,2021-2022
Yan Valery,Southampton,2021-2022
Shane Long,Southampton,2021-2022
Willy Caballero,Southampton,2021-2022
William Smallbone,Southampton,2021-2022
Kgagelo Chauke,Southampton,2021-2022
Tyler Dibling,Southampton,2021-2022
Harry Lewis,Southampton,2021-2022
Dynel Simeu,Southampton,2021-2022
Thierry Small,Southampton,2021-2022
Hugo Lloris,Tottenham Hotspur,2021-2022
Harry Kane,Tottenham Hotspur,2021-2022
Pierre Højbjerg,Tottenham Hotspur,2021-2022
Eric Dier,Tottenham Hotspur,2021-2022
Son Heung-min,Tottenham Hotspur,2021-2022
Ben Davies,Tottenham Hotspur,2021-2022
Emerson,Tottenham Hotspur,2021-2022
Sergio Reguilón,Tottenham Hotspur,2021-2022
Cristian Romero,Tottenham Hotspur,2021-2022
Lucas Moura,Tottenham Hotspur,2021-2022
Davinson Sánchez,Tottenham Hotspur,2021-2022
Rodrigo Bentancur,Tottenham Hotspur,2021-2022
Oliver Skipp,Tottenham Hotspur,2021-2022
Dejan Kulusevski,Tottenham Hotspur,2021-2022
Ryan Sessegnon,Tottenham Hotspur,2021-2022
Japhet Tanganga,Tottenham Hotspur,2021-2022
Harry Winks,Tottenham Hotspur,2021-2022
Matt Doherty,Tottenham Hotspur,2021-2022
Dele Alli,Tottenham Hotspur,2021-2022
Tanguy Ndombele,Tottenham Hotspur,2021-2022
Steven Bergwijn,Tottenham Hotspur,2021-2022
Giovani Lo Celso,Tottenham Hotspur,2021-2022
Bryan,Tottenham Hotspur,2021-2022
Joe Rodon,Tottenham Hotspur,2021-2022
Dane Scarlett,Tottenham Hotspur,2021-2022
Brandon Austin,Tottenham Hotspur,2021-2022
Jamie Bowden,Tottenham Hotspur,2021-2022
Matthew Craig,Tottenham Hotspur,2021-2022
Alfie Devine,Tottenham Hotspur,2021-2022
Pierluigi Gollini,Tottenham Hotspur,2021-2022
Marcel Lavinier,Tottenham Hotspur,2021-2022
Dilan Markanday,Tottenham Hotspur,2021-2022
Tobi Omole,Tottenham Hotspur,2021-2022
Moussa Sissoko,Tottenham Hotspur,2021-2022
Harvey White,Tottenham Hotspur,2021-2022
Moussa Sissoko,Watford,2021-2022
Emmanuel Dennis,Watford,2021-2022
Craig Cathcart,Watford,2021-2022
Joshua King,Watford,2021-2022
Ben Foster,Watford,2021-2022
Kiko Femenía,Watford,2021-2022
Juraj Kucka,Watford,2021-2022
Ismaila Sarr,Watford,2021-2022
Tom Cleverley,Watford,2021-2022
Samir Santos,Watford,2021-2022
Hassane Kamara,Watford,2021-2022
Imran Louza,Watford,2021-2022
João Pedro,Watford,2021-2022
William Troost-Ekong,Watford,2021-2022
Adam Masina,Watford,2021-2022
Christian Kabasele,Watford,2021-2022
Daniel Bachmann,Watford,2021-2022
Cucho,Watford,2021-2022
Jeremy Ngakia,Watford,2021-2022
Edo Kayembe,Watford,2021-2022
Ken Sema,Watford,2021-2022
Danny Rose,Watford,2021-2022
Francisco Sierralta,Watford,2021-2022
Oghenekaro Etebo,Watford,2021-2022
Ozan Tufan,Watford,2021-2022
Samuel Kalu,Watford,2021-2022
Nicolas Nkoulou,Watford,2021-2022
Dan Gosling,Watford,2021-2022
Ashley Fletcher,Watford,2021-2022
Troy Deeney,Watford,2021-2022
Vincent Angelini,Watford,2021-2022
Kwadwo Baah,Watford,2021-2022
Adrian Blake,Watford,2021-2022
Kamil Conteh,Watford,2021-2022
Tiago Çukur,Watford,2021-2022
Rob Elliot,Watford,2021-2022
Shaqai Forde,Watford,2021-2022
Jack Grieves,Watford,2021-2022
James Morris,Watford,2021-2022
?ukasz Fabia?ski,West Ham United,2021-2022
Declan Rice,West Ham United,2021-2022
Tomá Sou?ek,West Ham United,2021-2022
Jarrod Bowen,West Ham United,2021-2022
Michail Antonio,West Ham United,2021-2022
Pablo Fornals,West Ham United,2021-2022
Aaron Cresswell,West Ham United,2021-2022
Craig Dawson,West Ham United,2021-2022
Saïd Benrahma,West Ham United,2021-2022
Vladimír Coufal,West Ham United,2021-2022
Kurt Zouma,West Ham United,2021-2022
Manuel Lanzini,West Ham United,2021-2022
Ben Johnson,West Ham United,2021-2022
Angelo Ogbonna,West Ham United,2021-2022
Issa Diop,West Ham United,2021-2022
Arthur Masuaku,West Ham United,2021-2022
Nikola Vlai?,West Ham United,2021-2022
Mark Noble,West Ham United,2021-2022
Ryan Fredericks,West Ham United,2021-2022
Andriy Yarmolenko,West Ham United,2021-2022
Alphonse Areola,West Ham United,2021-2022
Harrison Ashby,West Ham United,2021-2022
Sonny Perkins,West Ham United,2021-2022
Daniel Chesters,West Ham United,2021-2022
Alex Král,West Ham United,2021-2022
Ajibola Alese,West Ham United,2021-2022
Jamal Baptiste,West Ham United,2021-2022
Conor Coventry,West Ham United,2021-2022
Pierre Ekwah Elimby,West Ham United,2021-2022
Armstrong Okoflex,West Ham United,2021-2022
Darren Randolph,West Ham United,2021-2022
Conor Coady,Wolverhampton Wanderers,2021-2022
José Sá,Wolverhampton Wanderers,2021-2022
João Moutinho,Wolverhampton Wanderers,2021-2022
Romain Saïss,Wolverhampton Wanderers,2021-2022
Rúben Neves,Wolverhampton Wanderers,2021-2022
Max Kilman,Wolverhampton Wanderers,2021-2022
Raúl Jiménez,Wolverhampton Wanderers,2021-2022
Nélson Semedo,Wolverhampton Wanderers,2021-2022
Leander Dendoncker,Wolverhampton Wanderers,2021-2022
Rayan Aït Nouri,Wolverhampton Wanderers,2021-2022
Hwang Hee-chan,Wolverhampton Wanderers,2021-2022
Fernando Marçal,Wolverhampton Wanderers,2021-2022
Francisco Trincão,Wolverhampton Wanderers,2021-2022
Daniel Podence,Wolverhampton Wanderers,2021-2022
Adama Traoré,Wolverhampton Wanderers,2021-2022
Jonny Castro,Wolverhampton Wanderers,2021-2022
Willy Boly,Wolverhampton Wanderers,2021-2022
Fábio Silva,Wolverhampton Wanderers,2021-2022
Pedro Neto,Wolverhampton Wanderers,2021-2022
Toti Gomes,Wolverhampton Wanderers,2021-2022
Ki-Jana Hoever,Wolverhampton Wanderers,2021-2022
Luke Cundle,Wolverhampton Wanderers,2021-2022
Chiquinho,Wolverhampton Wanderers,2021-2022
John Ruddy,Wolverhampton Wanderers,2021-2022
Chem Campbell,Wolverhampton Wanderers,2021-2022
Morgan Gibbs-White,Wolverhampton Wanderers,2021-2022
Hugo Bueno,Wolverhampton Wanderers,2021-2022
Ryan John Giles,Wolverhampton Wanderers,2021-2022
Bruno Jordão,Wolverhampton Wanderers,2021-2022
Christian Marques,Wolverhampton Wanderers,2021-2022
Yerson Mosquera,Wolverhampton Wanderers,2021-2022
Louie Moulden,Wolverhampton Wanderers,2021-2022
Dion Sanderson,Wolverhampton Wanderers,2021-2022
James Storer,Wolverhampton Wanderers,2021-2022
